ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID6210,ID6210,0,0,0,0,0,0
ID8207,ID8207,13789,3385,1654,584,9369,4566
ID8208,ID8208,0,0,0,0,0,0
ID9433,ID9433,145186,32517,15529,3648,103031,48360
ID9411,ID9411,71510,16016,7649,1797,50747,23819
ID3303,ID3303,0,0,0,0,0,0
ID3214,ID3214,0,0,0,0,0,0
ID3306,ID3306,0,0,0,0,0,0
ID9108,ID9108,14445,3546,1733,612,9815,4783
ID1702,ID1702,451,82,40,52,249,122
ID3317,ID3317,0,0,0,0,0,0
ID1409,ID1409,354281,77112,37810,23938,220438,108234
ID1407,ID1407,387330,76260,37453,32614,223327,109849
ID5314,ID5314,0,0,0,0,0,0
ID5320,ID5320,0,0,0,0,0,0
ID6101,ID6101,345739,70326,34494,25132,207203,101724
ID1217,ID1217,46876,9469,4638,4715,28050,13755
ID3527,ID3527,0,0,0,0,0,0
ID6105,ID6105,226403,46207,22663,16256,135717,66612
ID9419,ID9419,534,120,57,13,379,178
ID1503,ID1503,158920,29002,14207,18354,87812,43102
ID6109,ID6109,98784,20161,9888,7093,59216,29064
ID1705,ID1705,3299,618,303,225,1870,916
ID3322,ID3322,0,0,0,0,0,0
ID8106,ID8106,0,0,0,0,0,0
ID8107,ID8107,2398,545,268,227,1610,787
ID3604,ID3604,0,0,0,0,0,0
ID1218,ID1218,306583,68725,33683,19093,195149,95770
ID6208,ID6208,591,108,53,51,319,156
ID1405,ID1405,208877,40083,19667,20156,117701,57842
ID7108,ID7108,11152,2601,1283,776,7533,3694
ID7314,ID7314,0,0,0,0,0,0
ID3515,ID3515,0,0,0,0,0,0
ID7210,ID7210,40774,9093,4456,3629,26474,12974
ID1304,ID1304,123032,23695,11611,11456,70289,34523
ID5310,ID5310,0,0,0,0,0,0
ID1209,ID1209,351037,78690,38567,21861,223445,109657
ID1101,ID1101,3821,779,383,345,2314,1137
ID7307,ID7307,0,0,0,0,0,0
